Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
Star Trek,['Diane Duane'],ePUB,5.99,5.99,0743422279,2001-12-03,Pocket Books/Star Trek,256
Familiar Stranger,['Stuart Hall'],ePUB,15.99,15.99,0241290007,2017-04-06,Penguin Books Ltd,256
The Screwtape Letters: Letters From A Senior To A Junior Devil,['C. S. Lewis'],Paperback,19.99,18.25,0007461240,2012-07-01,HarperCollins Publishers,224
Blood Meridian,['Cormac McCarthy'],ePUB,10.3,9.01,0307762521,2010-08-11,Knopf Doubleday Publishing Group,
Book not found for ISBN 9780061763403,,,,,,,,
Across the Seas,['Griff Hosker'],ePUB,9.19,9.19,0463983092,2019-03-04,Griff Hosker,
American Royals,['Katharine McGee'],ePUB,9.99,9.99,0241365988,2019-09-01,Penguin Random House Children's UK,368
Battle of Okinawa,['George Feifer'],E-Book,0,0,1322117179,2001-01-01,Lyons Press,531
The Twits,"['Roald Dahl', 'Quentin Blake']",ePUB,9.99,9.99,0141930160,2007-09-06,Penguin Random House Children's UK,112
"Red, White & Royal Blue",['Casey McQuiston'],ePUB,17.81,14.29,1250316782,2019-05-14,St. Martin's Publishing Group,
The Great Hunt,['Robert Jordan'],ePUB,11.99,11.99,0748115358,2009-11-17,"Little, Brown Book Group",736
Magnus Chase and the Sword of Summer (Book 1),['Rick Riordan'],ePUB,9.99,9.99,0141342439,2015-10-06,Penguin Random House Children's UK,528
Homage to Catalonia,['George Orwell'],ePUB,15.99,15.99,0141911719,2003-06-05,Penguin Books Ltd,272
Boy,"['Roald Dahl', 'Quentin Blake']",ePUB,9.99,9.99,0141903120,2008-09-04,Penguin Random House Children's UK,192
Angels,['Marian Keyes'],ePUB,15.99,15.99,0141928689,2005-03-31,Penguin Books Ltd,496
Book not found for ISBN 9780230739673,,,,,,,,
The Lost (Paula Maguire 1),['Claire McGowan'],ePUB,11.99,11.99,0755386396,2013-04-11,Headline,305
Anxiety,['Joshua Fletcher'],ePUB,9.38,9.38,1310517223,2016-03-22,Joshua Fletcher,
George Washington's Secret Six,"['Brian Kilmeade', 'Don Yaeger']",ePUB,22.29,17.99,0698137655,2013-11-05,Penguin Publishing Group,288
Jamie's Food Tube,['Gennaro Contaldo'],ePUB,14.99,14.99,1405921102,2015-07-02,Penguin Books Ltd,128
Driving Over Lemons,['Chris Stewart'],ePUB,7.69,6.92,0956308643,2011-08-08,Sort Of Books,304
The Name of the Wind,['Patrick Rothfuss'],ePUB,12.99,12.99,0575087056,2010-04-22,Orion,672
Darkfever,['Karen Marie Moning'],ePUB,14.66,11.99,044033635X,2006-10-31,Random House Publishing Group,
Business Model Generation,['Alexander Osterwalder'],PDF,45.09,45.09,0470901039,2010-07-23,Wiley Professional Development (P&T),288
Kiss,['Jill Mansell'],Paperback,26.99,26.4,0755332555,2007-05-10,Headline,512
The Night Stalker,['Chris Carter'],ePUB,12.99,12.99,0857202995,2011-08-18,Simon & Schuster UK,464
The Wrath and the Dawn,['Renée| Ahdieh'],ePUB,25.5,25.5,0698185897,2015-05-12,,416
The Jury Master,['Robert Dugoni'],ePUB,17.99,17.99,0446539651,2008-07-15,Grand Central Publishing,300
The Book of Why,"['Judea Pearl', 'Dana Mackenzie']",ePUB,16.99,16.99,0241242649,2018-05-15,Penguin Books Ltd,400
"The Dragon's Mountain, Book One",['Mark Mulle'],ePUB,0,0,1310869685,2015-05-19,Mark Mulle,
Blow Fly,['Patricia Cornwell'],ePUB,11.99,11.99,0748109269,2008-09-04,"Little, Brown Book Group",544
The Sapphire Widow,['Dinah Jefferies'],ePUB,15.99,15.99,0241980755,2018-04-05,Penguin Books Ltd,400
Couples That Work,['Jennifer Petriglieri'],ePUB,18.99,18.99,0241379016,2019-10-10,Penguin Books Ltd,304
Time of Contempt,"['Andrzej Sapkowski', 'David French']",ePUB,12.99,12.99,0575088435,2013-06-24,Orion,320
Typhoon Fury,"['Clive Cussler', 'Boyd Morrison']",ePUB,15.99,15.99,1405927690,2017-11-16,Penguin Books Ltd,480
Aftermath,['Peter Robinson'],ePUB,12.35,8.95,0330469363,2008-09-04,,0
The Eagle's Conquest (Eagles of the Empire 2),['Simon Scarrow'],ePUB,12.99,12.99,0755350847,2008-09-04,Headline,448
No One Left To Tell (The Baltimore Series Book 2),['Karen Rose'],ePUB,11.99,11.99,0755373979,2012-01-05,Headline,451
A Maiden's Grave,['Jeffery Deaver'],ePUB,14.66,11.99,1101209356,2000-01-01,Penguin Publishing Group,
The Snow Child,['Eowyn Ivey'],ePUB,12.99,12.99,075538055X,2012-02-01,Headline,318
The Divine Comedy,"['Dante Alighieri', 'John Ciardi']",ePUB,25.7,20.99,1101117990,2003-05-27,Penguin Publishing Group,928
Made Things,['Adrian Tchaikovsky'],ePUB,6.22,5.99,1250232988,2019-11-05,Tor Publishing Group,
The Hunger Games (USA Edition),['Suzanne Collins'],Hardcover,40.75,40.75,0439023483,2008-10-01,Scholastic US,384
